date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,rating1_pre,rating2_pre,pitcher1,pitcher2,pitcher1_rgs,pitcher2_rgs,pitcher1_adj,pitcher2_adj,rating_prob1,rating_prob2,rating1_post,rating2_post,score1,score2
2022-10-05,2022,0,,LAD,COL,1619.76697157209,1457.77532172643,0.7447212688160589,0.25527873118394107,,,1619.58362604847,1452.32675717776,,,,,,,0.7521749724615011,0.2478250275384989,,,,
2022-10-05,2022,0,,SEA,DET,1529.66882890621,1450.28206518784,0.644544099568911,0.355455900431089,,,1519.08915266924,1452.9090698157,,,,,,,0.6392740864530483,0.3607259135469517,,,,
2022-10-05,2022,0,,SDP,SFG,1506.35829255081,1513.29490895331,0.5245364586008091,0.4754635413991909,,,1519.75273373559,1503.32216831074,,,,,,,0.5656799277455438,0.43432007225445624,,,,
2022-10-05,2022,0,,NYM,WSN,1557.28122880607,1429.16021889296,0.7059259885002651,0.2940740114997349,,,1562.21796020713,1434.73453943147,,,,,,,0.7108607265162356,0.28913927348376445,,,,
2022-10-05,2022,0,,MIL,ARI,1516.94948368443,1475.65083386569,0.5928812572648222,0.4071187427351778,,,1527.25750090565,1470.15006842436,,,,,,,0.6176772905057376,0.3823227094942624,,,,
2022-10-05,2022,0,,HOU,PHI,1578.16110976691,1533.29589664927,0.597827231472325,0.40217276852767503,,,1569.82486908797,1538.29282238671,,,,,,,0.5917587636864523,0.4082412363135477,,,,
2022-10-05,2022,0,,FLA,ATL,1463.90632465534,1577.92179532897,0.373280084070479,0.6267199159295209,,,1474.65666233872,1575.4411920904,,,,,,,0.38837591785796016,0.6116240821420398,,,,
2022-10-05,2022,0,,CLE,KCR,1522.11014741813,1454.8618755621,0.628378604523308,0.37162139547669204,,,1514.53131081499,1453.19687131175,,,,,,,0.6222833386341868,0.37771666136581317,,,,
2022-10-05,2022,0,,CIN,CHC,1465.28421435019,1469.2591068075,0.5287865769327211,0.47121342306727887,,,1468.71288510547,1471.36043989285,,,,,,,0.5222255832393554,0.4777744167606446,,,,
2022-10-05,2022,0,,CHW,MIN,1506.47761733942,1497.8201934419,0.5468598869889367,0.4531401130110633,,,1514.76839775858,1505.97177876253,,,,,,,0.5529377519126236,0.4470622480873764,,,,
2022-10-05,2022,0,,BOS,TBD,1493.31999130187,1545.21848370718,0.45993691157494243,0.5400630884250576,,,1507.19860429401,1532.57742462304,,,,,,,0.4930195903381176,0.5069804096618824,,,,
2022-10-05,2022,0,,TEX,NYY,1485.57122151403,1563.36700424747,0.4231944557158357,0.5768055442841643,,,1481.62308362923,1572.17224857461,,,,,,,0.41319625624218587,0.5868037437578142,,,,
